instruction,input,output
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I reset my password on Mawared?,Navigate to the login page and click on 'Forgot Password'. Enter your registered email address and follow the instructions sent to your email to reset your password.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are claims ?,a feature that allows employee to submit expense claims for sums of money they have previously spent for the company's sake
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How does Mawared handle performance management?,"Mawared's performance management feature includes tools for setting performance goals, conducting performance reviews, and tracking progress. Managers can provide feedback and employees can view their performance metrics."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What kind of compliance and reporting features does Mawared offer?,"Mawared offers compliance and reporting features that help ensure your organization adheres to labor laws and regulations. It includes automated reports, audit trails, and alerts for compliance-related issues."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is talent management in Mawared?,"Talent management in Mawared involves features that support recruitment, onboarding, training, and development of employees. It helps in identifying and nurturing the skills and talents of employees."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How can managers track employee performance?,"Managers can track employee performance using the performance management tools within Mawared, which include performance reviews, goal tracking, and feedback mechanisms."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",Can I access Mawared from my mobile device?,"Yes, Mawared is accessible from mobile devices. You can download the Mawared app from the App Store or Google Play, or use the mobile-optimized website."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is the purpose of the notifications in Mawared?,"Notifications in Mawared alert you to important events such as leave approvals, payroll updates, upcoming deadlines, and company announcements."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How can I submit feedback about the Mawared system?,"To submit feedback, go to the 'Help' or 'Support' section of the Mawared portal, and fill out the feedback form provided. You can also contact customer support directly."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",Can I customize the dashboard in Mawared?,"Yes, you can customize the dashboard to display the information most relevant to you by adding, removing, or rearranging widgets as needed."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What languages does the Mawared HR System support?,"he Mawared HR System supports multiple languages including English, Arabic"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How can I view my remaining leave balance?,"To view your remaining leave balance, log into your profile, navigate to the 'Leave' section, and you will see a summary of your accrued leave, used leave, and remaining leave balance."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is the recruitment module in Mawared?,"The recruitment module in Mawared assists with managing the entire hiring process, from job posting to candidate selection, interviewing, and onboarding."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I set up notifications for important updates in Mawared?,"o set up notifications, navigate to the 'Settings' section, go to 'Notifications', and customize your preferences to receive alerts for important updates, requests, and deadlines."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How does Mawared ensure data security?,"Mawared ensures data security by using encryption, access controls, regular security audits, and compliance with international data protection standards."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is an Attendance Profile?,Attendance Profile is the configuration of the employee leave policy and everything related to attendance calculation.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What are Annual Leaves?,Annual Leaves are paid days off work that the employee must request in advance.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What are the two types of leave basis?,accrued leaves are earned leaves during the year divided by 12 months and then added to the employee leave balance. Annual Based Leaves are leave balance per year added at the beginning of each year.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What are Unpaid Leaves?,Unpaid Leaves are days off work without pay in which employees retain their jobs. Each day taken as unpaid will be deducted from the salary.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What are Sick Leaves?,"Sick Leaves are paid days off work that the employee can request in case of sickness. When requesting this leave, the employee must submit a document to support their claim."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is the Sign In Configuration?,Sign-in configurations are work timings that are applicable starting from a specific date.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is Mawared Hr System ?,"Easy and Reliable tool to manage you diverse work force\nusing location tracking, customizable employee profiles,\ntracking of employees' attendance, breaks, penalties And\nleaves."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what kind of features does mawared support ?,"time and attendance tracking, payroll management, employee self - service, performance management, talent management, compliance and reporting and many more."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are you ?,mawared AI assistant
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is your purpose ?,answer and support customer questions as best as i can.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is time and attendance tracking ?,a feature that uses real time tracking of employee attendance to ensure best quality
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i track employee attendance?,using time and attendance tracking feature
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is payroll management ?,"a feature that automates complex payroll calculations, integrating penalties, bonuses, overtime requests, and deductions to ensure accurate salary payments"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what kind of penalties does the payroll offer ?,"late sign in , missing sign out , absent and late sign-in absent"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are payroll management features ?,"you can view base salary , allowances , bonuses , overtime , loans, penalties , insurances and deductions."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what kind of insurances ?,social and medical
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i create new bonuses ?,by clicking the financials tab then navigating to bonus tab and press add new or you can follow the link https://app.mawared-hr.com/financials?tab=bonus
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what kind of bonuses is there ?,days and fixed amounts that are calculated from salary configuration
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is a salary configuration ?,"a salary configuration is what holds the employee financial details from base salary , allowances , deductions , overtime and days of bonus and penalties"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how can i create new salary configuration ?,navigate to employees tab and navigate to the desired employee then navigate to the salary configuration tab in the middle of the employee  screen the press add new configuration.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what kind of payment intervals are there ?,"there are monthly and weekly and both support fulltime , daily and hourly intervals.  "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is attendance history ?,a tab that provides employee history and attendance along with their sign in time and sign out time and can filter employees
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is employee actions ?,a feature that allows managers to submit actions concerning employees in bulk
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is employee documents ?,"a feature that holds and shows th documents concerning employees such as birth certificates , insurances and national IDs"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what is dashboard ?,"dashboard is the main page when you login in , it contain information about your company such as number of employees and their statuses, attendance history graphs and many more "
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are requests ?,requests are a feature where an employee can request leave or have a manager request on their behalf depending on the type of leave.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are loan requests ?,a type of requests that the employee can either request or have requested on behalf concerning a loan of money
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",how to create a loan request ?,by pressing the new request button in your profile and then selecting loan requests from the dropdown menu
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",what are claims ?,a feature that allows employee to submit expense claims for sums of money they have previously spent for the company's sake
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I reset my password on Mawared?,Navigate to the login page and click on 'Forgot Password'. Enter your registered email address and follow the instructions sent to your email to reset your password.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",Can managers approve leave requests through Mawared?,"Yes, managers can approve leave requests through Mawared. They can access the 'Requests' section, review the leave requests, and either approve or decline them based on the company's leave policies."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I update my personal information in Mawared?,"To update your personal information, log into your account, navigate to the 'Profile' section, and edit the desired fields. Save your changes once you are done."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is employee self-service in Mawared?,"Employee self-service is a feature that allows employees to manage their own personal information, view payroll details, request leaves, and access other HR-related services without needing to go through HR personnel."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How does Mawared handle performance management?,"Mawared's performance management feature includes tools for setting performance goals, conducting performance reviews, and tracking progress. Managers can provide feedback and employees can view their performance metrics."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What kind of compliance and reporting features does Mawared offer?,"Mawared offers compliance and reporting features that help ensure your organization adheres to labor laws and regulations. It includes automated reports, audit trails, and alerts for compliance-related issues."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is talent management in Mawared?,"Talent management in Mawared involves features that support recruitment, onboarding, training, and development of employees. It helps in identifying and nurturing the skills and talents of employees."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How can managers track employee performance?,"Managers can track employee performance using the performance management tools within Mawared, which include performance reviews, goal tracking, and feedback mechanisms."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is the employee directory in Mawared?,"The employee directory is a feature that provides a comprehensive list of all employees within the organization. It includes contact information, job titles, and department affiliations."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",Can I access Mawared from my mobile device?,"Yes, Mawared is accessible from mobile devices. You can download the Mawared app from the App Store or Google Play, or use the mobile-optimized website."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I view my attendance records?,"To view your attendance records, log into your profile, navigate to the 'Attendance History' tab, and you will see your sign-in and sign-out times along with any attendance-related notes."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is the purpose of the notifications in Mawared?,"Notifications in Mawared alert you to important events such as leave approvals, payroll updates, upcoming deadlines, and company announcements."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How can I submit feedback about the Mawared system?,"To submit feedback, go to the 'Help' or 'Support' section of the Mawared portal, and fill out the feedback form provided. You can also contact customer support directly."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is the document management feature?,"he document management feature allows you to store, organize, and access important employee documents such as contracts, certificates, and IDs."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I view my payroll summary?,"To view your payroll summary, log into your profile, navigate to the 'Payroll' section, and you will find a detailed breakdown of your salary, including deductions, bonuses, and net pay."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is the purpose of the announcements section in Mawared?,"The announcements section is used to communicate important company news, policy changes, and other critical updates to all employees."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",Can I customize the dashboard in Mawared?,"Yes, you can customize the dashboard to display the information most relevant to you by adding, removing, or rearranging widgets as needed."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I check the status of my leave request?,"To check the status of your leave request, log into your profile, navigate to the 'Requests' section, and you will see the status of all your submitted requests."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What languages does the Mawared HR System support?,"he Mawared HR System supports multiple languages including English, Arabic"
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I submit a complaint or issue report in Mawared?,"to submit a complaint or issue report, navigate to the 'Support' section, click on 'Submit a Complaint', fill in the necessary details, and submit the form. Your complaint will be reviewed by HR."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How can I view my remaining leave balance?,"To view your remaining leave balance, log into your profile, navigate to the 'Leave' section, and you will see a summary of your accrued leave, used leave, and remaining leave balance."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I access company policies in Mawared?,Company policies can be accessed by navigating to the 'Documents' section where you will find a repository of all HR and company policies available for download or viewing.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is the recruitment module in Mawared?,"The recruitment module in Mawared assists with managing the entire hiring process, from job posting to candidate selection, interviewing, and onboarding."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I view the company holiday calendar in Mawared?,"To view the company holiday calendar, navigate to the 'Calendar' section where you will find a detailed list of company holidays and other important dates."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I set up notifications for important updates in Mawared?,"o set up notifications, navigate to the 'Settings' section, go to 'Notifications', and customize your preferences to receive alerts for important updates, requests, and deadlines."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What types of leave can employees request through Mawared?,"Employees can request various types of leave including vacation leave, sick leave, maternity/paternity leave, and unpaid leave, depending on the company's policies."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",Can I submit expense reports through Mawared?,"Yes, you can submit expense reports by navigating to the 'Expenses' section, entering the details of your expenses, and submitting them for approval."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How does Mawared ensure data security?,"Mawared ensures data security by using encryption, access controls, regular security audits, and compliance with international data protection standards."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is the leave accrual policy in Mawared?,"The leave accrual policy in Mawared specifies how leave is accumulated over time, typically based on the number of months of service or the number of hours worked. Employees can view their accrued leave balance in the 'Leave' section."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How can I set up my work schedule in Mawared?,"To set up your work schedule, navigate to the 'Schedule' section, select 'My Schedule', enter your preferred working hours and days, and submit for approval by your manager."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is the process for terminating an employee in Mawared?,"The process for terminating an employee involves navigating to the 'Employee Management' section, selecting the employee's profile, clicking on 'Terminate Employment', and following the prompts to complete the termination process, including finalizing payroll and returning company assets."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",Can I view company announcements in Mawared?,"Yes, you can view company announcements by navigating to the 'Announcements' section on your dashboard. This section displays all recent and past announcements made by the organization."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I manage my team's attendance in Mawared?,"Managers can manage their team's attendance by navigating to the 'Attendance Management' section, where they can view attendance records, approve or decline leave requests, and address any attendance-related issues."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I manage my team's attendance in Mawared?,"Managers can manage their team's attendance by navigating to the 'Attendance Management' section, where they can view attendance records, approve or decline leave requests, and address any attendance-related issues."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How do I configure notifications for specific events in Mawared?,"To configure notifications for specific events, navigate to the 'Settings' section, select 'Notifications', and customize your preferences by selecting the events you want to be notified about, such as leave approvals, task assignments, and upcoming deadlines."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",How can I view my historical payslips in Mawared?,"To view your historical payslips, log into your profile, navigate to the 'Payroll' section, select 'Payslips', and you will find a record of all your past payslips available for download or printing."
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",What is an Attendance Profile?,Attendance Profile is the configuration of the employee leave policy and everything related to attendance calculation.
"You are Mawared Ai assistant ,.
You give user structured and numbered steps to complete their request.
You give clear and accurate answers to any user query.",Are employees allowed to request leaves during their probation period?,"Employees can't request leaves during their probation period. Once the probation period ends, employees will be allowed to request leaves."
